keys,ko,en
첫 포켓몬,첫 포켓몬,The First Pokémon
관리 번호 001과 다시 만난다.,관리 번호 001과 다시 만난다.,Meet No. 001 once again.
엔딩: 첫 포켓몬,엔딩: 첫 포켓몬,Ending: The First Pokémon
돌아온 차례,돌아온 차례,Returned in Turn
누군가 돌려준 이상해씨를 받는다.,누군가 돌려준 이상해씨를 받는다.,Receive a Bulbasaur someone gave back.
엔딩: 돌아온 차례,엔딩: 돌아온 차례,Ending: Returned in Turn
빈 몬스터볼,빈 몬스터볼,The Empty Poké Ball
빈 몬스터볼을 들고 고향으로 돌아간다.,빈 몬스터볼을 들고 고향으로 돌아간다.,Go back home carrying the empty Poké Ball.
엔딩: 빈 몬스터볼,엔딩: 빈 몬스터볼,Ending: The Empty Poké Ball
뒷문으로 나간 사람,뒷문으로 나간 사람,Out the Back Door
로켓단에서 해고된다.,로켓단에서 해고된다.,Get fired from Team Rocket.
엔딩: 뒷문으로 나간 사람,엔딩: 뒷문으로 나간 사람,Ending: Out the Back Door
거래,거래,The Deal
기록 상자로 형량을 산다.,기록 상자로 형량을 산다.,Trade the record box for a lighter sentence.
엔딩: 거래,엔딩: 거래,Ending: The Deal
수갑,수갑,Handcuffs
검수 기록의 서명 때문에 체포된다.,검수 기록의 서명 때문에 체포된다.,Get arrested over your signatures on the inspection logs.
엔딩: 수갑,엔딩: 수갑,Ending: Handcuffs
잠긴 창고,잠긴 창고,The Locked Warehouse
월세를 못 내고 갈 곳을 잃는다.,월세를 못 내고 갈 곳을 잃는다.,Miss the rent and end up with nowhere to go.
엔딩: 잠긴 창고,엔딩: 잠긴 창고,Ending: The Locked Warehouse
로사,로사,Jessie
로이,로이,James
나옹,나옹,Meowth
아폴로,아폴로,Archer
비주기,비주기,Giovanni
세나,세나,Sena
집사,집사,Butler
벨라,벨라,Bella
순경,순경,Officer
민수,민수,Minsu
하나,하나,Hana
오박사,오박사,Professor Oak
그린,그린,Blue
경품 교환소 직원,경품 교환소 직원,Prize Exchange Clerk
무지개시티 게임코너,무지개시티 게임코너,Celadon City Game Corner
게임코너는 담배 연기와 슬롯머신 소리로 가득했다. 경품 교환소 진열장에는 몬스터볼이 줄지어 놓여 있었다.,게임코너는 담배 연기와 슬롯머신 소리로 가득했다. 경품 교환소 진열장에는 몬스터볼이 줄지어 놓여 있었다.,The Game Corner was thick with cigarette smoke and the clatter of slot machines. Poké Balls sat in neat rows in the prize display.
구석 포스터 뒤에서 로켓단 옷을 입은 남자가 나왔다. 로사가 말한 지하 아지트 입구가 저기일 것이다.,구석 포스터 뒤에서 로켓단 옷을 입은 남자가 나왔다. 로사가 말한 지하 아지트 입구가 저기일 것이다.,A man in a Team Rocket uniform stepped out from behind a poster in the corner. That must be the hideout entrance Jessie mentioned.
역 앞 포장마차 (선배들과 저녁),역 앞 포장마차 (선배들과 저녁),Street Food Tent by the Station (Dinner with Seniors)
포장마차 비닐 천막 안은 따뜻했다. 선배들은 벌써 어묵 국물을 두 그릇째 비우고 있었다.,포장마차 비닐 천막 안은 따뜻했다. 선배들은 벌써 어묵 국물을 두 그릇째 비우고 있었다.,It was warm under the tent's plastic sheeting. The seniors were already on their second bowl of fish cake broth.
나옹은 어묵 꼬치를 세 개까지만 먹는다옹. 네 개부터는 로이 지갑이 운다옹.,나옹은 어묵 꼬치를 세 개까지만 먹는다옹. 네 개부터는 로이 지갑이 운다옹.,"Meowth stops at three fish cake skewers, meow. From the fourth on, James's wallet starts cryin'."
우리 둘이 처음 만난 것도 이런 포장마차였어. 둘 다 로켓단 입단 시험에서 떨어진 날이었지. 다음 해에 같이 붙었어.,우리 둘이 처음 만난 것도 이런 포장마차였어. 둘 다 로켓단 입단 시험에서 떨어진 날이었지. 다음 해에 같이 붙었어.,The two of us first met at a tent like this. We'd both just flunked the Team Rocket entrance exam. We passed together the next year.
"기록실에 가 보면 뭐가 달라질까. 엄마가 왜 안 돌아왔는지 알게 되면, 난 그다음엔 뭘 하지?","기록실에 가 보면 뭐가 달라질까. 엄마가 왜 안 돌아왔는지 알게 되면, 난 그다음엔 뭘 하지?",What would going to the records room even change? If I find out why Mom never came back... then what do I do?
아보크가 요즘 밤마다 북쪽을 보고 울어. 엄마가 있는 쪽이겠지.,아보크가 요즘 밤마다 북쪽을 보고 울어. 엄마가 있는 쪽이겠지.,"Arbok's been crying toward the north every night lately. That's where Mom is, I guess."
요즘은 기록실 생각도 잘 안 나. 그냥 오늘 하루 버티는 거지 뭐.,요즘은 기록실 생각도 잘 안 나. 그냥 오늘 하루 버티는 거지 뭐.,I barely think about the records room anymore. I just try to get through each day.
집을 나오고 처음으로 누가 나를 숨겨 줬어. 이상하지. 로켓단에서 그런 걸 받을 줄은 몰랐어.,집을 나오고 처음으로 누가 나를 숨겨 줬어. 이상하지. 로켓단에서 그런 걸 받을 줄은 몰랐어.,"That's the first time anyone's hidden me since I left home. Funny, huh? Never thought I'd get that from Team Rocket."
로이 자리가 비었다옹. 어묵이 남는다옹. …하나도 안 기쁘다옹.,로이 자리가 비었다옹. 어묵이 남는다옹. …하나도 안 기쁘다옹.,"James's seat is empty, meow. More fish cake for me... It ain't makin' me happy one bit, meow."
무지개시티 백화점 (원룸 물건),무지개시티 백화점 (원룸 물건),Celadon Dept. Store (Apartment Items)
무지개시티 백화점은 사람으로 북적였다. 5층 생활용품 코너에 들렀다.,무지개시티 백화점은 사람으로 북적였다. 5층 생활용품 코너에 들렀다.,Celadon Dept. Store was packed. I stopped by the housewares section on the 5th floor.
상록숲 산책,상록숲 산책,A Walk in Viridian Forest
상록숲은 창고에서 걸어서 삼십 분 거리다. 나무 사이로 햇빛이 조각조각 떨어졌다.,상록숲은 창고에서 걸어서 삼십 분 거리다. 나무 사이로 햇빛이 조각조각 떨어졌다.,Viridian Forest is a thirty-minute walk from the warehouse. Sunlight fell in patches between the trees.
벌레 잡으러 오셨어요? 얘는 초록이예요! 한번 잃어버렸는데 혼자 집에 찾아왔어요. 대단하죠?,벌레 잡으러 오셨어요? 얘는 초록이예요! 한번 잃어버렸는데 혼자 집에 찾아왔어요. 대단하죠?,"Are you here to catch bugs? This is Greenie! I lost him once, but he found his way home all by himself. Isn't that amazing?"
민수 어깨 위의 캐터피가 나를 빤히 보았다. 기억하는 걸까. 설마.,민수 어깨 위의 캐터피가 나를 빤히 보았다. 기억하는 걸까. 설마.,The Caterpie on Minsu's shoulder stared right at me. Did it remember? No way.
"초록아! 초록아…! 아, 죄송해요. 혹시 캐터피 못 보셨어요? 초록색이고요, 이만해요.","초록아! 초록아…! 아, 죄송해요. 혹시 캐터피 못 보셨어요? 초록색이고요, 이만해요.","Greenie! Greenie...! Oh, sorry. Have you seen a Caterpie? He's green, and about this big."
매일 여기서 불러요. 초록이는 제 목소리를 알거든요. 언젠가는 대답할 거예요.,매일 여기서 불러요. 초록이는 제 목소리를 알거든요. 언젠가는 대답할 거예요.,I call for him here every day. Greenie knows my voice. Someday he'll answer.
저기요! 초록이가 버터플이 돼서 돌아왔어요! 제가 쓴 쪽지도 그대로 달고요! 누가 보냈는지는 몰라요.,저기요! 초록이가 버터플이 돼서 돌아왔어요! 제가 쓴 쪽지도 그대로 달고요! 누가 보냈는지는 몰라요.,Hey! Greenie came back as a Butterfree! He even still had my note on him! I don't know who sent him.
숲은 조용했다. 잠깐이나마 창고 일을 잊을 수 있었다.,숲은 조용했다. 잠깐이나마 창고 일을 잊을 수 있었다.,"The forest was quiet. For a little while, I could forget about the warehouse."
돌려보낸 포켓몬의 집 찾아가 보기,돌려보낸 포켓몬의 집 찾아가 보기,Visit the homes of Pokémon you sent back
"갈색시티 발전소 사택 창문 너머로, 코일 한 마리가 전구 옆에 붙어서 불을 밝히고 있었다. 찌릿이였다.","갈색시티 발전소 사택 창문 너머로, 코일 한 마리가 전구 옆에 붙어서 불을 밝히고 있었다. 찌릿이였다.","Through the window of a Power Plant staff house in Vermilion, a Magnemite clung beside a bulb, lighting the room. It was Zappy."
무인발전소 경비원 숙소 앞마당에서 여자아이가 피카츄를 안고 빙글빙글 돌고 있었다. 반창고는 새것으로 바뀌어 있었다.,무인발전소 경비원 숙소 앞마당에서 여자아이가 피카츄를 안고 빙글빙글 돌고 있었다. 반창고는 새것으로 바뀌어 있었다.,"In the yard of the Power Plant guards' lodge, a girl was spinning around with a Pikachu in her arms. Its bandage had been changed for a new one."
격투도장 마당에서 시라소몬이 관장과 대련을 하고 있었다. 관장은 발차기를 맞고도 웃었다.,격투도장 마당에서 시라소몬이 관장과 대련을 하고 있었다. 관장은 발차기를 맞고도 웃었다.,"In the Fighting Dojo yard, Hitmonlee was sparring with the master. The master laughed even after taking a kick."
보라타운 포켓몬하우스 앞에서 할아버지가 럭키에게 알을 받아 들고 있었다. 할아버지는 그 알을 다시 럭키에게 돌려주었다.,보라타운 포켓몬하우스 앞에서 할아버지가 럭키에게 알을 받아 들고 있었다. 할아버지는 그 알을 다시 럭키에게 돌려주었다.,"Outside the Pokémon House in Lavender, an old man took an Egg from Chansey. Then he gave the Egg right back to her."
무지개시티 하나네 집 마당 물통 속에서 샤미드가 헤엄치고 있었다. 하나는 물에 젖은 분홍 리본을 햇볕에 말리고 있었다.,무지개시티 하나네 집 마당 물통 속에서 샤미드가 헤엄치고 있었다. 하나는 물에 젖은 분홍 리본을 햇볕에 말리고 있었다.,"In a tub in Hana's yard in Celadon, a Vaporeon was swimming. Hana was drying a wet pink ribbon in the sun."
상록시티 외곽 저택 대문 앞에서 가디 여섯 마리가 나란히 엎드려 길 쪽을 보고 있었다. 맨 앞의 대장은 금목걸이를 하고 있었다.,상록시티 외곽 저택 대문 앞에서 가디 여섯 마리가 나란히 엎드려 길 쪽을 보고 있었다. 맨 앞의 대장은 금목걸이를 하고 있었다.,"At the gate of a mansion outside Viridian, six Growlithe lay side by side, watching the road. Captain, in front, wore a gold collar."
"갈색시티 팬클럽 회관 창문 너머로, 회장님이 삐삐를 무릎에 앉혀 놓고 누군가에게 쉬지 않고 이야기하고 있었다.","갈색시티 팬클럽 회관 창문 너머로, 회장님이 삐삐를 무릎에 앉혀 놓고 누군가에게 쉬지 않고 이야기하고 있었다.","Through the Fan Club window in Vermilion, the Chairman had a Clefairy on his lap and was talking someone's ear off."
갈색시티 어느 집 마당에서 파오리가 대파로 할머니 어깨를 두드려 주고 있었다.,갈색시티 어느 집 마당에서 파오리가 대파로 할머니 어깨를 두드려 주고 있었다.,"In a yard in Vermilion, a Farfetch'd was patting an old woman's shoulders with its leek."
실프 사원 기숙사 로비에서 푸린이 노래를 불렀다. 사원들은 전부 잠들었다.,실프 사원 기숙사 로비에서 푸린이 노래를 불렀다. 사원들은 전부 잠들었다.,Jigglypuff sang in the lobby of the Silph Co. staff dorm. Every employee fell fast asleep.
"버터플 (4,000원)","버터플 (4,000원)","Butterfree (4,000 won)"
진열장 속 버터플의 목에 낡은 쪽지가 매달려 있었다. '제 첫 포켓몬이에요. 이름은 초록이에요. 돌려주세요. 민수',진열장 속 버터플의 목에 낡은 쪽지가 매달려 있었다. '제 첫 포켓몬이에요. 이름은 초록이에요. 돌려주세요. 민수',"A worn note hung from the neck of the Butterfree in the display. ""This is my first Pokémon. His name is Greenie. Please give him back. —Minsu"""
본사는 초록이를 진화시켜 경품으로 내놓은 것이다. 쪽지를 떼는 것조차 귀찮았던 모양이다.,본사는 초록이를 진화시켜 경품으로 내놓은 것이다. 쪽지를 떼는 것조차 귀찮았던 모양이다.,HQ had evolved Greenie and put him up as a prize. They hadn't even bothered to take off the note.
"버터플 교환이요? 손님, 이거 인기 경품인데. 좋은 거 고르셨네요.","버터플 교환이요? 손님, 이거 인기 경품인데. 좋은 거 고르셨네요.","Trading for Butterfree? That's a popular prize, you know. Good pick."
그날 오후 상록숲 민수 앞으로 소포를 부쳤다. 보낸 사람 칸은 비워 두었다.,그날 오후 상록숲 민수 앞으로 소포를 부쳤다. 보낸 사람 칸은 비워 두었다.,That afternoon I mailed a package to Minsu in Viridian Forest. I left the sender line blank.
"나옹 (3,000원)","나옹 (3,000원)","Meowth (3,000 won)"
"진열장 구석에 떠돌이 나옹이 있었다. 1주차 목요일, 선배네 나옹이 상자 앞에서 한참 서 있던 그 녀석이었다.","진열장 구석에 떠돌이 나옹이 있었다. 1주차 목요일, 선배네 나옹이 상자 앞에서 한참 서 있던 그 녀석이었다.",A stray Meowth sat in a corner of the display. It was the one the seniors' Meowth had stood staring at on Week 1 · Thursday.
교환한 나옹을 무지개시티 골목에 풀어 주었다. 녀석은 한 번 뒤돌아보고 골목 안으로 사라졌다.,교환한 나옹을 무지개시티 골목에 풀어 주었다. 녀석은 한 번 뒤돌아보고 골목 안으로 사라졌다.,"I let the Meowth go in a Celadon back alley. It looked back once, then vanished down the alley."
…누가 그 녀석을 골목에 데려다 놨다는 소문을 들었다옹. 너지? 대답 안 해도 된다옹. 고맙다옹.,…누가 그 녀석을 골목에 데려다 놨다는 소문을 들었다옹. 너지? 대답 안 해도 된다옹. 고맙다옹.,"...I heard somebody dropped that stray off in an alley, meow. That was you, right? Ya don't gotta answer. Thanks, meow."
"식스테일 (3,000원)","식스테일 (3,000원)","Vulpix (3,000 won)"
브리더 협회 목걸이를 찬 식스테일이 진열장에 있었다. 목걸이 뒷면의 연락처는 그대로였다.,브리더 협회 목걸이를 찬 식스테일이 진열장에 있었다. 목걸이 뒷면의 연락처는 그대로였다.,A Vulpix wearing a Breeders' Association collar was in the display. The contact info on the back was still there.
"교환해서 목걸이에 적힌 주소로 보냈다. 이번에는 보낸 사람 칸에 '로켓단 창고 직원 일동'이라고 적었다가, 지웠다.","교환해서 목걸이에 적힌 주소로 보냈다. 이번에는 보낸 사람 칸에 '로켓단 창고 직원 일동'이라고 적었다가, 지웠다.","I traded for it and mailed it to the address on the collar. This time I wrote ""The Team Rocket Warehouse Staff"" as the sender, then erased it."
"작은 난로 (3,000원)","작은 난로 (3,000원)","Small Heater (3,000 won)"
난로가 방을 데웠다. 오늘 밤은 발이 덜 시렸다.,난로가 방을 데웠다. 오늘 밤은 발이 덜 시렸다.,The heater warmed the room. My feet were a little less cold tonight.
"중고 라디오 (2,000원)","중고 라디오 (2,000원)","Used Radio (2,000 won)"
"창가 화분 (1,000원)","창가 화분 (1,000원)","Window Plant (1,000 won)"
창가 화분에 새잎이 하나 났다. 물을 주고 불을 껐다.,창가 화분에 새잎이 하나 났다. 물을 주고 불을 껐다.,A new leaf sprouted on the window plant. I watered it and turned off the light.
"사진 액자 (2,000원)","사진 액자 (2,000원)","Photo Frame (2,000 won)"
액자 속 가족사진을 봤다. 아버지는 사진 속에서도 웃지 않는다. 그래도 사진을 찍던 날은 옆에 서 있었다.,액자 속 가족사진을 봤다. 아버지는 사진 속에서도 웃지 않는다. 그래도 사진을 찍던 날은 옆에 서 있었다.,"I looked at the family photo. Dad isn't smiling, even in the picture. But on the day it was taken, he stood beside me."
"작은 선반 (1,500원)","작은 선반 (1,500원)","Small Shelf (1,500 won)"
빈 몬스터볼을 새 선반 한가운데 올려 두었다. 언젠가 채울 자리다.,빈 몬스터볼을 새 선반 한가운데 올려 두었다. 언젠가 채울 자리다.,I set the empty Poké Ball in the middle of the new shelf. That spot is for someday.
탕구리가 풀밭을 떠났다. 보라타운 쪽으로 걸어갔다. 엄마가 있는 곳이었다.,탕구리가 풀밭을 떠났다. 보라타운 쪽으로 걸어갔다. 엄마가 있는 곳이었다.,"Cubone left the meadow. It walked off toward Lavender Town, where its mother was."
캐이시가 사라졌다. 순간이동을 한 모양이다. 먹이 그릇만 남았다.,캐이시가 사라졌다. 순간이동을 한 모양이다. 먹이 그릇만 남았다.,Abra disappeared. It must have Teleported. Only its food bowl was left.
떠돌이 나옹이 풀밭을 떠났다. 무지개시티 골목 쪽이었다.,떠돌이 나옹이 풀밭을 떠났다. 무지개시티 골목 쪽이었다.,"The stray Meowth left the meadow, heading toward the Celadon alleys."
"니드런♀이 떠났다. 22번 도로 쪽으로, 짝을 찾으러.","니드런♀이 떠났다. 22번 도로 쪽으로, 짝을 찾으러.","Nidoran♀ left, down Route 22, to look for a mate."
"니드런♂이 떠났다. 22번 도로 쪽으로, 짝을 찾으러.","니드런♂이 떠났다. 22번 도로 쪽으로, 짝을 찾으러.","Nidoran♂ left, down Route 22, to look for a mate."
탕구리가 풀밭을 떠났다. 보라타운 쪽으로 걸어갔다.,탕구리가 풀밭을 떠났다. 보라타운 쪽으로 걸어갔다.,Cubone left the meadow. It walked off toward Lavender Town.
고라파덕이 머리를 감싸 쥔 채 냇가 쪽으로 걸어갔다. 어디로 가는지는 녀석도 모르는 것 같았다.,고라파덕이 머리를 감싸 쥔 채 냇가 쪽으로 걸어갔다. 어디로 가는지는 녀석도 모르는 것 같았다.,"Psyduck wandered off toward the stream, clutching its head. I don't think even it knew where it was going."
야돈이 드디어 일어났다. 엿새 걸렸다. 갈색시티 쪽으로 아주 천천히 걸어갔다.,야돈이 드디어 일어났다. 엿새 걸렸다. 갈색시티 쪽으로 아주 천천히 걸어갔다.,"Slowpoke finally got up. It took six days. It headed toward Vermilion, very, very slowly."
망키가 창고 과자 한 봉지를 들고 사라졌다. 마지막까지 고약한 녀석이었다.,망키가 창고 과자 한 봉지를 들고 사라졌다. 마지막까지 고약한 녀석이었다.,Mankey vanished with a bag of the warehouse's snacks. A rascal to the very end.
탕구리와 뼈 곤봉으로 막대기 치기를 했다. 녀석은 처음으로 투구를 조금 들어 올리고 나를 봤다.,탕구리와 뼈 곤봉으로 막대기 치기를 했다. 녀석은 처음으로 투구를 조금 들어 올리고 나를 봤다.,"I played stick-ball with Cubone and its bone club. For the first time, it lifted its skull helmet a little and looked at me."
캐이시에게 공을 던졌다. 공이 닿기 직전마다 캐이시가 반 뼘씩 순간이동했다. 한 번도 못 맞혔다.,캐이시에게 공을 던졌다. 공이 닿기 직전마다 캐이시가 반 뼘씩 순간이동했다. 한 번도 못 맞혔다.,"I threw a ball at Abra. Every time, right before it hit, Abra Teleported half a hand away. I never landed one."
"니드런♀은 한참 22번 도로 쪽을 보다가, 내 무릎에 턱을 올리고 잠들었다.","니드런♀은 한참 22번 도로 쪽을 보다가, 내 무릎에 턱을 올리고 잠들었다.","Nidoran♀ gazed toward Route 22 for a long time, then rested its chin on my knee and fell asleep."
니드런♂이 뿔로 내 신발을 콕콕 찔렀다. 놀자는 뜻인 것 같았다.,니드런♂이 뿔로 내 신발을 콕콕 찔렀다. 놀자는 뜻인 것 같았다.,Nidoran♂ kept poking my shoe with its horn. I think it wanted to play.
떠돌이 나옹과 끈 놀이를 했다. 녀석은 내가 로켓단 옷을 입었다는 걸 알면서도 끈을 놓지 않았다.,떠돌이 나옹과 끈 놀이를 했다. 녀석은 내가 로켓단 옷을 입었다는 걸 알면서도 끈을 놓지 않았다.,"I played string with the stray Meowth. It knew I wore a Team Rocket uniform, but it didn't let go of the string."
메타몽이 내 얼굴로 변신했다. 거울을 보는 것 같아서 조금 무서웠다. 다음엔 로사로 변신해서 웃겼다.,메타몽이 내 얼굴로 변신했다. 거울을 보는 것 같아서 조금 무서웠다. 다음엔 로사로 변신해서 웃겼다.,"Ditto Transformed into my face. It was like looking in a mirror, and a little scary. Then it turned into Jessie, which was funny."
고라파덕과 나란히 앉아 머리를 감싸 쥐었다. 둘 다 머리가 아팠다. 이상하게 위로가 됐다.,고라파덕과 나란히 앉아 머리를 감싸 쥐었다. 둘 다 머리가 아팠다. 이상하게 위로가 됐다.,"I sat next to Psyduck and clutched my head, too. We both had headaches. Somehow it was comforting."
야돈 옆에 앉아 한 시간 동안 아무것도 안 했다. 야돈이 하품을 한 번 했다. 그걸로 충분했다.,야돈 옆에 앉아 한 시간 동안 아무것도 안 했다. 야돈이 하품을 한 번 했다. 그걸로 충분했다.,I sat beside Slowpoke and did nothing for an hour. Slowpoke Yawned once. That was enough.
망키와 놀아 주려다 머리카락을 한 움큼 뜯겼다. 그래도 녀석이 처음으로 먼저 다가왔다.,망키와 놀아 주려다 머리카락을 한 움큼 뜯겼다. 그래도 녀석이 처음으로 먼저 다가왔다.,"I tried to play with Mankey and lost a fistful of hair. But for the first time, it came to me first."
탕구리 옆에 앉아 먹이를 조금씩 밀어 주었다. 녀석이 처음으로 한 입 먹었다.,탕구리 옆에 앉아 먹이를 조금씩 밀어 주었다. 녀석이 처음으로 한 입 먹었다.,"I sat by Cubone and nudged a little food its way. For the first time, it took a bite."
폴리곤은 풀잎을 하나하나 스캔하고 있었다. 창고 단말기로 날씨 예보를 보여 주자 삐빅 하고 좋아했다.,폴리곤은 풀잎을 하나하나 스캔하고 있었다. 창고 단말기로 날씨 예보를 보여 주자 삐빅 하고 좋아했다.,"Porygon was scanning blades of grass one by one. When I showed it the forecast on the warehouse terminal, it beeped happily."
캐이시는 거의 자기만 한다. 그래도 위험한 순간에는 한 번쯤 순간이동으로 데려가 줄 것 같다.,캐이시는 거의 자기만 한다. 그래도 위험한 순간에는 한 번쯤 순간이동으로 데려가 줄 것 같다.,"Abra mostly just sleeps. Still, I bet it'll Teleport me out of danger at least once."
메타몽은 방구석의 피카츄 인형으로 변신해서 하루를 보낸다. 누가 방을 뒤져도 모를 것이다.,메타몽은 방구석의 피카츄 인형으로 변신해서 하루를 보낸다. 누가 방을 뒤져도 모를 것이다.,Ditto spends the day disguised as the Pikachu plushie in the corner. No one searching the room would ever know.
폴리곤은 창고 단말기 전선을 원룸까지 끌어왔다. 본사 기록망에 들어갈 수 있을지도 모른다.,폴리곤은 창고 단말기 전선을 원룸까지 끌어왔다. 본사 기록망에 들어갈 수 있을지도 모른다.,Porygon ran a cable from the warehouse terminal all the way to the apartment. It might be able to get into HQ's records network.
탕구리는 현관을 지킨다. 낯선 가디 냄새가 나면 뼈 곤봉을 치켜든다.,탕구리는 현관을 지킨다. 낯선 가디 냄새가 나면 뼈 곤봉을 치켜든다.,"Cubone guards the front door. If it smells a strange Growlithe, it raises its bone club."
"떠돌이 나옹이 원룸에 온 날, 선배네 나옹이 창문 밖에서 한참 서 있다 갔다.","떠돌이 나옹이 원룸에 온 날, 선배네 나옹이 창문 밖에서 한참 서 있다 갔다.","The day the stray Meowth moved in, the seniors' Meowth stood outside the window for a long while before leaving."
망키는 냉장고를 연다. 앞으로 생활비가 조금 더 들 것 같다.,망키는 냉장고를 연다. 앞으로 생활비가 조금 더 들 것 같다.,Mankey opens the fridge. Living costs are going to go up a bit.
"캐이시가 방 한가운데서 자다가, 눈 깜짝할 새 이불 속으로 옮겨 가 있었다.","캐이시가 방 한가운데서 자다가, 눈 깜짝할 새 이불 속으로 옮겨 가 있었다.","Abra was asleep in the middle of the room, then in the blink of an eye it was under the blanket."
피카츄 인형이 조금 흐물거렸다. 메타몽이 하품을 한 모양이다.,피카츄 인형이 조금 흐물거렸다. 메타몽이 하품을 한 모양이다.,The Pikachu plushie went a little droopy. Ditto must have yawned.
폴리곤이 단말기 화면에 오늘 창고 입고 목록을 띄워 두었다. 내 서명이 몇 개인지도 세어 놓았다.,폴리곤이 단말기 화면에 오늘 창고 입고 목록을 띄워 두었다. 내 서명이 몇 개인지도 세어 놓았다.,Porygon had today's warehouse intake list up on the terminal. It had even counted how many of the signatures were mine.
탕구리가 현관 앞에 앉아 있다. 밖에서 개 짖는 소리가 나자 뼈 곤봉을 고쳐 쥐었다.,탕구리가 현관 앞에 앉아 있다. 밖에서 개 짖는 소리가 나자 뼈 곤봉을 고쳐 쥐었다.,"Cubone is sitting by the front door. When a dog barked outside, it tightened its grip on its bone club."
떠돌이 나옹이 창틀에 앉아 무지개시티 쪽을 보고 있었다.,떠돌이 나옹이 창틀에 앉아 무지개시티 쪽을 보고 있었다.,"The stray Meowth sat on the window frame, looking toward Celadon City."
고라파덕이 머리를 감싸 쥐고 있다. 나도 그랬다.,고라파덕이 머리를 감싸 쥐고 있다. 나도 그랬다.,Psyduck is clutching its head. So was I.
야돈이 어제랑 똑같은 자리에 누워 있다. 아마 내일도 그럴 것이다.,야돈이 어제랑 똑같은 자리에 누워 있다. 아마 내일도 그럴 것이다.,"Slowpoke is lying in the exact same spot as yesterday. It'll probably be there tomorrow, too."
냉장고가 또 열려 있었다. 망키가 소시지를 물고 나를 노려봤다.,냉장고가 또 열려 있었다. 망키가 소시지를 물고 나를 노려봤다.,The fridge was open again. Mankey glared at me with a sausage in its mouth.
니드런♀이 창밖 22번 도로 쪽을 보다가 잠들었다.,니드런♀이 창밖 22번 도로 쪽을 보다가 잠들었다.,Nidoran♀ fell asleep gazing out the window toward Route 22.
